"receipt_no","sale_time"
"#89320-929","11:00"
"#43950-648","11:46"
"#14594-419","12:01"
"#02065-213","13:00"
"#36974-678","15:00"
"#19265-052","15:00"
"#63141-712","15:20"
"#36993-972","15:10"
"#37688-596","16:20"
"#89444-092","17:55"
"#59748-260","18:00"
"#12167-120","18:04"
"#47852-553","18:57"
"#73283-340","19:25"
"#99253-430","11:05"
"#78280-438","11:27"
"#99157-479","13:33"
"#84292-298","13:49"
"#24264-386","16:35"
"#16744-983","15:12"
"#10367-815","15:12"
"#66780-237","16:18"
"#13975-407","16:36"
"#37978-409","17:33"
"#11508-599","19:03"
"#69759-556","19:40"
"#73871-986","20:01"
"#66692-027","20:21"
"#35135-207","10:15"
"#07335-736","10:19"
"#68556-526","13:15"
"#11216-738","13:18"
"#78328-324","13:40"
"#90018-993","14:45"
"#90018-993-2","14:45"
"#81540-008","15:10"
"#80706-645","15:41"
"#83463-287","15:50"
"#38442-364","17:15"
"#30835-775","18:22"
"#47492-646","19:10"
"#43719-175","19:25"
"#23771-844","14:10"
"#36759-212","14:35"
"#01200-382","16:41"
"#73829-270","17:00"
"#04619-483","17:05"
"#48482-254","17:17"
"#52041-710","20:00"
"#64120-992","20:19"
"#43783-533","21:00"
"#05418-380","21:05"
"#94253-638","11:10"
"#17726-494","12:19"
"#59437-144","14:13"
"#40504-132","14:35"
"#35264-346","18:22"
"#33593-089","19:20"
"#54558-649","21:00"
"#02543-363","10:09"
"#02629-706","11:04"
"#71508-885","11:46"
"#21282-131","13:18"
"#53927-294","13:30"
"#89507-187","13:30"
"#51571-642","14:25"
"#50315-483","15:05"
"#82016-408","15:55"
"#39321-967","16:35"
"#48013-123","16:29"
"#89876-435","19:25"
"#81229-928","19:50"
"#19209-416","20:36"
"#07299-339","10:30"
"#68525-712","10:05"
"#84683-158","10:45"
"#94127-249","11:16"
"#99147-641","12:30"
"#02227-298","14:00"
"#23502-047","14:00"
"#17344-398","14:30"
"#26385-954","14:41"
"#92692-658","16:00"
"#54138-341","16:30"
"#71153-169","18:00"
"#20281-509","18:00"
"#64233-775","20:18"
"#88812-520","20:30"
"#09920-166","10:05"
"#75812-548","10:05"
"#51673-570","10:30"
"#32235-387","12:30"
"#47204-969","12:10"
"#06907-947","12:30"
"#93990-853","13:00"
